Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;PVP;Valor_de_Mercado;Liquidez;Qtd_de_Imoveis;Preco_m2;Aluguel_m2;Cap_Rate;Vacancia_Media
AAZQ11;Outros;7.99;0.1311;0.0702;0.92;192058000.0;679849.0;0;0.0;0.0;0.0;0.0
ABCP11;Shoppings;79.8;0.0956;0.0969;0.72;375785000.0;71903.0;1;5242.97;634.43;0.121;0.012199999999999999
AEFI11;Outros;174.9;0.0855;0.0;1.75;411893000.0;0.0;0;0.0;0.0;0.0;0.0
AERO11;Logística;100.01;0.0;0.0;1.01;62732400.0;470210.0;0;0.0;0.0;0.0;0.0
AFCR11;Multicategoria;103.15;0.1261;0.0;1.07;498867000.0;0.0;0;0.0;0.0;0.0;0.0
AFHF11;Outros;10.0;0.0742;0.1011;0.98;50000000.0;156445.0;0;0.0;0.0;0.0;0.0
AFHI11;Multicategoria;95.3;0.115;0.12539999999999998;1.0;456410000.0;833091.0;0;0.0;0.0;0.0;0.0
AFOF11;Títulos e Val. Mob.;91.6;0.008199999999999999;0.0;12.28;1390540000.0;0.0;0;0.0;0.0;0.0;0.0
AGCX11;Varejo;1235.5;0.0053;0.0;11.57;19291500000.0;0.0;82;63941.3;468.9;0.0073;0.038599999999999995
AGRX11;Outros;8.93;0.0771;0.0707;0.85;159875000.0;311635.0;0;0.0;0.0;0.0;0.0
AIEC11;Escritórios;59.75;0.0611;0.06709999999999999;0.78;288293000.0;705485.0;2;11361.7;906.47;0.07980000000000001;0.0
AJFI11;Shoppings;8.3;0.08460000000000001;0.0779;0.74;262496000.0;321846.0;12;594.16;58.86;0.09910000000000001;0.033
ALMI11;Escritórios;698.99;0.0663;0.0637;0.34;77711600.0;12644.0;1;1692.7;229.74;0.13570000000000002;0.46799999999999997
ALZC11;Outros;7.96;0.1208;0.1613;0.87;157142000.0;351202.0;0;0.0;0.0;0.0;0.0
ALZM11;Títulos e Val. Mob.;6.4;0.1176;0.0;0.86;97155500.0;0.0;0;0.0;0.0;0.0;0.0
ALZR11;Multicategoria;10.75;0.092;0.0926;1.01;1314360000.0;2359860.0;23;3462.3;291.22;0.08410000000000001;0.1125
ALZT11;Títulos e Val. Mob.;33.0;0.1552;0.0;0.79;16500000.0;0.0;0;0.0;0.0;0.0;0.0
ANCR11;Shoppings;492.3;0.016;0.0029;4.08;17091500000.0;2605.0;10;38735.6;970.07;0.025;0.041299999999999996
APTO11;Residencial;8.42;0.128;0.1252;0.86;38835000.0;33991.0;3;16396.1;1112.22;0.0678;0.0
APXM11;Shoppings;72.75;0.053200000000000004;0.059800000000000006;0.57;205820000.0;626354.0;1;1140.01;161.31;0.14150000000000001;1.0
ARCT11;Multicategoria;87.13;-0.6077;0.0;0.86;368999000.0;0.0;12;1100.84;99.19;0.0901;0.0
AROA11;Multicategoria;1.13;0.0713;0.0735;1.19;189757000.0;5282.0;6;1404.2;112.02;0.07980000000000001;0.0
ARRI11;Multicategoria;6.79;0.1082;0.15689999999999998;0.81;140736000.0;261712.0;0;0.0;0.0;0.0;0.0
ARXD11;Multicategoria;7.9;0.14980000000000002;0.1387;0.87;69743500.0;70331.0;0;0.0;0.0;0.0;0.0
ASMT11;Outros;4.1;0.06269999999999999;0.0;0.41;70113800.0;518.0;3;4554.15;766.71;0.1684;0.0
ASRF11;Multicategoria;10974.0;-0.0108;0.0;1.03;43896000.0;8505.0;2;6826.24;0.0;0.0;0.0
ATSA11;Shoppings;67.35;0.0555;0.039900000000000005;0.91;117939000.0;607.0;1;3436.32;206.18;0.06;0.1668
AURB11;Logística;76.21;0.0594;0.036699999999999997;0.94;82747300.0;225000.0;2;2040.06;170.78;0.0837;0.0
AZPL11;Logística;7.65;0.0723;0.1241;0.89;320709000.0;810665.0;1;1529.99;132.78;0.0868;0.0
BARI11;Outros;79.2;0.1379;0.0722;1.01;367028000.0;0.0;1;0.0;0.0;0.0;0.0
BBFI11;Escritórios;629.0;-0.054299999999999994;0.9906;18.55;81770000.0;0.0;0;0.0;0.0;0.0;0.0
BBFO11;Multicategoria;72.0;0.1494;0.12390000000000001;0.93;288281000.0;627240.0;0;0.0;0.0;0.0;0.0
BBGO11;Outros;77.01;0.1938;0.0889;0.83;308438000.0;530460.0;0;0.0;0.0;0.0;0.0
BBIG11;Shoppings;7.0;0.1635;0.1359;0.72;693847000.0;1377570.0;3;9705.81;738.66;0.0761;0.016
BBPO11;Escritórios;96.75;0.1042;0.0;0.95;1540230000.0;0.0;61;3690.03;479.56;0.13;0.0144
BBRC11;Outros;104.01;0.1134;0.1292;0.99;165376000.0;117772.0;21;9685.82;1304.2;0.13470000000000001;0.1253
BBVJ11;Escritórios;62.99;0.0223;0.0;0.86;197789000.0;0.0;1;10225.3;570.89;0.0558;0.43700000000000006
BCFF11;Títulos e Val. Mob.;7.35;0.0806;0.0;0.84;1480960000.0;0.0;0;0.0;0.0;0.0;0.0
BCIA11;Multicategoria;94.49;0.1164;0.1168;0.9;351412000.0;578179.0;0;0.0;0.0;0.0;0.0
BCRI11;Outros;63.6;0.1402;0.1553;0.75;398001000.0;653786.0;0;0.0;0.0;0.0;0.0
BFCC11;Escritórios;102.06;0.0487;0.013000000000000001;1.04;847547000.0;8.0;1;26058.3;1823.67;0.07;0.0
BGRB11;Escritórios;115.1;0.0482;0.0516;0.97;222481000.0;14047.0;1;45220.1;2916.01;0.0645;0.0285
BICE11;Outros;888.0;0.0528;0.0529;0.8;118472000.0;44.0;0;0.0;0.0;0.0;0.0
BICR11;Títulos e Val. Mob.;35.92;0.1426;0.0642;0.86;17960000.0;0.0;0;0.0;0.0;0.0;0.0
BIME11;Outros;6.55;0.1014;0.1447;0.77;38288700.0;51978.0;1;266.25;0.0;0.0;0.0
BIPD11;Outros;989.33;-0.0241;0.0681;1.03;109261000.0;0.0;2;7997.96;0.0;0.0;0.0
BLCA11;Escritórios;93.95;0.0673;0.0675;0.73;150320000.0;109176.0;1;35463.9;3084.95;0.087;0.0
BLCP11;Logística;91.0;0.0541;0.0;0.81;208962000.0;0.0;2;3014.16;199.89;0.0663;0.0
BLMC11;Títulos e Val. Mob.;85.75;0.111;0.0;0.91;34257100.0;0.0;0;0.0;0.0;0.0;0.0
BLMG11;Multicategoria;34.51;0.1174;0.1276;0.74;161319000.0;265910.0;1;2520.05;317.61;0.126;0.0
BLMO11;Escritórios;85.0;0.07200000000000001;0.0753;0.86;84559200.0;346001.0;1;10261.3;965.29;0.0941;0.0
BLMR11;Títulos e Val. Mob.;6.78;0.1017;0.0;0.84;173172000.0;0.0;0;0.0;0.0;0.0;0.0
BLOG11;Multicategoria;8.49;0.0404;0.034;0.75;261464000.0;169.0;6;2035.3;145.71;0.0716;0.128
BLUR11;Títulos e Val. Mob.;76.03;0.10060000000000001;0.0196;0.99;6842700.0;0.0;0;0.0;0.0;0.0;0.0
BMLC11;Outros;102.2;0.0812;0.0819;0.9;102037000.0;10881.0;1;16468.8;1519.94;0.09230000000000001;0.0
BNFS11;Varejo;66.48;0.17620000000000002;0.158;0.95;46536000.0;80404.0;18;4190.17;886.22;0.2115;0.0044
BPFF11;Outros;54.52;0.16269999999999998;0.0874;0.78;244922000.0;0.0;0;0.0;0.0;0.0;0.0
BPML11;Multicategoria;99.99;0.09449999999999999;0.11320000000000001;0.81;744100000.0;3677530.0;4;5608.32;731.14;0.1304;0.0823
BPRP11;Outros;107.5;0.1056;0.0;0.86;145107000.0;0.0;1;6230.68;692.07;0.11109999999999999;0.0
BRCO11;Logística;121.1;0.0625;0.0874;1.04;2182380000.0;5498080.0;12;4859.04;338.24;0.0696;0.0759
BRCR11;Multicategoria;47.92;0.10890000000000001;0.1033;0.56;1276500000.0;2617730.0;6;5104.47;699.38;0.13699999999999998;0.0322
BREV11;Híbrido;105.0;0.0659;0.0;0.0;101556000.0;0.0;13;0.0;1437.55;0.0;0.0
BRIM11;Residencial;270.0;-0.0555;0.0;3.09;33517000.0;21533.0;0;0.0;0.0;0.0;0.0
BRIP11;Multicategoria;444.99;-0.0764;0.0643;0.8;95884200.0;8602.0;0;0.0;0.0;0.0;0.0
BRLA11;Logística;148.0;0.07730000000000001;0.0533;0.89;724795000.0;0.0;10;1083.6;86.3;0.0796;0.0
BROF11;Multicategoria;62.5;0.1085;0.10289999999999999;0.57;725676000.0;471373.0;1;8191.75;1203.95;0.147;0.0964
BTAL11;Logística;92.07;0.1235;0.10640000000000001;0.79;550831000.0;768699.0;9;1502.54;186.41;0.1241;0.0
BTCI11;Outros;9.27;0.1284;0.124;0.92;922561000.0;2788640.0;0;0.0;0.0;0.0;0.0
BTCR11;Títulos e Val. Mob.;88.0;0.12480000000000001;0.0;0.92;423289000.0;0.0;0;0.0;0.0;0.0;0.0
BTHF11;Outros;9.41;0.1159;0.1193;0.93;1937020000.0;4869410.0;0;0.0;0.0;0.0;0.0
BTHI11;Hotel;43.4;0.10779999999999999;0.1045;0.67;400083000.0;59642.0;14;7968.32;851.6;0.1069;0.0
BTLG11;Multicategoria;102.94;0.0745;0.0909;1.0;5487770000.0;15473000.0;30;3603.59;259.6;0.07200000000000001;0.0302
BTML11;Shoppings;111.28;0.1005;0.113;0.87;126206000.0;0.0;2;22543.7;2388.55;0.106;0.09699999999999999
BTRA11;Outros;68.95;0.0908;0.0699;0.61;231986000.0;283459.0;5;1.6;0.16;0.0989;0.0576
BTSG11;Logística;146.92;0.08;0.0808;0.94;113865000.0;0.0;1;6039.2;523.02;0.0866;0.0
BTSI11;Outros;109.59;0.0649;0.0883;0.89;698522000.0;0.0;5;2070.55;142.22;0.0687;0.0
BTWR11;Escritórios;105.49;0.0766;0.0759;0.89;85369900.0;3.0;1;4254.07;476.93;0.1121;0.08
BTYU11;Outros;9.13;0.1481;0.1421;0.9;273900000.0;6134.0;0;0.0;0.0;0.0;0.0
BVAR11;Varejo;1260.89;0.0394;0.0599;1.62;788737000.0;32.0;43;5428.88;359.61;0.0662;0.20190000000000002
CACR11;Multicategoria;79.16;0.1551;0.1984;0.83;382843000.0;2065320.0;0;0.0;0.0;0.0;0.0
CARE11;Multicategoria;5.21;0.0027;0.0;0.75;187592000.0;7525.0;1;0.0;0.0;0.0;0.0
CBOP11;Escritórios;39.76;0.0383;0.0429;0.55;56260400.0;14655.0;1;3324.11;324.97;0.0978;0.23199999999999998
CCME11;Multicategoria;8.87;0.1216;0.1143;0.84;601360000.0;293108.0;1;6508.64;571.13;0.08779999999999999;0.2798
CCRF11;Títulos e Val. Mob.;92.5;0.0716;0.0;0.95;145401000.0;0.0;0;0.0;0.0;0.0;0.0
CCVA11;Hospital;100.07;0.0676;0.0681;0.97;62816300.0;0.0;1;2112.4;275.98;0.1306;0.0225
CEOC11;Escritórios;43.37;0.13119999999999998;0.1294;0.64;78746700.0;36258.0;1;0.0;770.13;0.0;0.0
CFHI11;Multicategoria;20.1;0.5895;0.37079999999999996;0.76;1901460.0;0.0;4;0.0;0.0;0.0;0.0
CFII11;Multicategoria;768.97;0.0151;0.2611;1.06;97135500.0;60.0;9;16282.2;879.23;0.054000000000000006;0.0
CJCT11;Escritórios;63.66;0.042300000000000004;0.0436;0.86;199892000.0;344953.0;1;10414.8;780.92;0.075;0.301
CLIN11;Outros;92.07;0.13419999999999999;0.13140000000000002;0.94;400206000.0;1045590.0;0;0.0;0.0;0.0;0.0
CNES11;Escritórios;1.55;0.0565;0.0478;0.24;52909000.0;117365.0;1;163.63;36.34;0.22210000000000002;0.547
COPP11;Outros;103.0;0.0499;0.0;0.94;290462000.0;0.0;3;5.42;0.25;0.0463;0.18
CORM11;Outros;81.0;0.045700000000000005;0.0;0.85;87581800.0;0.0;3;7193.96;755.12;0.105;0.0
CPFF11;Títulos e Val. Mob.;69.9;0.1807;0.0;1.12;75470800.0;0.0;0;0.0;0.0;0.0;0.0
CPLG11;Logística;11.87;-0.0012;0.1186;1.1;516850000.0;11275500.0;2;15.1;0.0;0.0;0.0
CPOF11;Outros;109.8;0.0462;0.055099999999999996;1.03;524010000.0;21678300.0;4;4.48;0.27;0.061;0.03
CPSH11;Shoppings;10.62;0.051100000000000007;0.1201;0.93;846412000.0;8859900.0;8;553.66;71.9;0.12990000000000002;0.0
CPTR11;Outros;8.55;1.1152;0.0768;0.87;169501000.0;344299.0;0;0.0;0.0;0.0;0.0
CPTS11;Outros;8.12;0.056799999999999996;0.12689999999999999;0.88;2827760000.0;8669500.0;0;0.0;0.0;0.0;0.0
CPUR11;Multicategoria;10.3;0.0867;0.10640000000000001;1.05;698605000.0;597034.0;14;8719.61;548.41;0.0629;0.0070999999999999995
CRAA11;Títulos e Val. Mob.;104.15;0.0775;0.0616;1.02;246818000.0;936752.0;0;0.0;0.0;0.0;0.0
CRFF11;Multicategoria;76.0;0.0929;0.1047;0.87;52443000.0;12237.0;0;0.0;0.0;0.0;0.0
CTXT11;Escritórios;5.5;-0.2082;0.0;0.31;29617000.0;979.0;1;637.24;5.64;0.0088;1.0
CVBI11;Outros;82.78;0.1459;0.1435;0.89;911427000.0;3128870.0;0;0.0;0.0;0.0;0.0
CXAG11;Varejo;76.62;0.11810000000000001;0.1173;0.69;160183000.0;191145.0;31;2786.78;365.53;0.13119999999999998;0.0
CXCE11;Escritórios;42.73;0.1335;0.12710000000000002;0.68;73194400.0;24608.0;1;3436.17;498.88;0.1452;0.0
CXCI11;Multicategoria;73.5;0.1303;0.1257;0.83;151243000.0;101821.0;0;0.0;0.0;0.0;0.0
CXCO11;Multicategoria;72.18;0.1257;0.1207;0.76;283270000.0;158906.0;10;3030.68;423.22;0.1396;0.0
CXRI11;Multicategoria;67.13;0.10619999999999999;0.11449999999999999;0.77;105781000.0;23567.0;0;0.0;0.0;0.0;0.0
CXTL11;Logística;340.0;0.046799999999999994;0.0298;0.82;18223000.0;4893.0;1;2565.32;500.73;0.19519999999999998;0.0
DAMA11;Multicategoria;6.74;0.1369;0.1429;0.81;37319600.0;7862.0;0;0.0;0.0;0.0;0.0
DAMT11;Shoppings;12.76;0.073;0.07400000000000001;0.88;226870000.0;203.0;2;1257.7;139.55;0.111;0.0329
DAYM11;Outros;4.1;0.08259999999999999;0.058499999999999996;0.41;70113800.0;8456.0;6;3199.62;666.45;0.20829999999999999;0.096
DCRA11;Outros;7.45;0.1902;0.07769999999999999;0.77;50204800.0;103378.0;0;0.0;0.0;0.0;0.0
DEVA11;Multicategoria;24.28;0.19190000000000002;0.185;0.25;341010000.0;919865.0;0;0.0;0.0;0.0;0.0
DMAC11;Residencial;13.0;-7.585;0.0;2.61;2029400.0;0.0;0;0.0;0.0;0.0;0.0
DOMC11;Multicategoria;439.0;0.0078000000000000005;0.0;4.13;1072830000.0;0.0;2;25593.6;364.83;0.0143;0.133
DOVL11;Escritórios;650.35;0.1332;0.1297;1.12;43187100.0;0.0;2;2438.84;603.18;0.2473;0.0
DPRO11;Multicategoria;5.9;0.12140000000000001;0.1175;0.63;29519000.0;1313.0;1;1754.19;260.42;0.1485;0.0
DRIT11;Lajes Corporativas;8.68;0.6970000000000001;0.017;0.06;4021240.0;0.0;5;400.14;474.83;1.1867;0.0
DVFF11;Outros;5.83;0.1364;0.1322;0.66;64185400.0;93980.0;0;0.0;0.0;0.0;0.0
EDFO11;Residencial;120.0;0.1059;0.0902;0.56;28320000.0;22333.0;1;79446.8;12228.57;0.1539;1.0005
EDGA11;Multicategoria;14.7;0.0366;0.0336;0.33;56037200.0;15784.0;1;2183.07;297.35;0.1362;0.2438
EDGE11;Multicategoria;1071.8;0.1283;0.06860000000000001;0.89;12255000.0;27.0;0;0.0;0.0;0.0;0.0
EGAF11;Títulos e Val. Mob.;97.47;0.12990000000000002;0.0739;0.98;305268000.0;873960.0;0;0.0;0.0;0.0;0.0
EIRA11;Multicategoria;104.5;0.0969;0.1125;0.99;20951200.0;1797.0;0;0.0;0.0;0.0;0.0
ELDO11B;Shoppings;1104.31;0.11109999999999999;0.0446;0.61;869375000.0;0.0;1;10664.0;1402.32;0.1315;0.0049
EMET11;Multicategoria;10.22;0.048499999999999995;0.1152;1.04;51100000.0;89907.0;0;0.0;0.0;0.0;0.0
EQIN11;Multicategoria;7.29;0.1531;0.0;0.81;122098000.0;0.0;0;0.0;0.0;0.0;0.0
EQIR11;Multicategoria;8.56;0.1349;0.1389;0.89;93383700.0;126620.0;0;0.0;0.0;0.0;0.0
ERCR11;Residencial;76000.0;-0.0026;0.0;6.61;180576000.0;0.0;0;0.0;0.0;0.0;0.0
ERPA11;Multicategoria;126.1;0.0642;0.0889;0.76;63166300.0;6537.0;1;18699.9;1374.95;0.0735;0.0
EURO11;Logística;336.03;0.0736;0.0719;0.85;129014000.0;41163.0;7;1090.36;94.44;0.0866;0.0
EVBI11;Multicategoria;9.5;0.0493;0.0559;0.97;546231000.0;0.0;11;6565.94;343.08;0.052300000000000006;0.0049
EXES11;Multicategoria;9.42;0.1005;0.1632;0.95;132836000.0;138977.0;0;0.0;0.0;0.0;0.0
FAED11;Outros;152.86;0.1309;0.13119999999999998;0.69;105837000.0;96799.0;4;0.0;317.12;0.0;0.0
FAMB11;Residencial;1050.0;-0.0301;0.0;1.06;128665000.0;41857.0;1;2117.92;76.44;0.0361;0.9801000000000001
FATN11;Multicategoria;86.69;0.04650000000000001;0.0629;0.9;505354000.0;2124030.0;56;29367.7;2564.26;0.0873;0.0393
FCFL11;Multicategoria;125.98;0.0863;0.0855;1.03;437656000.0;204026.0;1;14263.7;1258.3;0.0882;0.0
FEXC11;Outros;83.5;0.0131;0.0;8.44;8310020000.0;0.0;0;0.0;0.0;0.0;0.0
FFCI11;Escritórios;182.03;0.0363;0.0;0.9;671817000.0;0.0;9;17089.9;1216.83;0.0712;0.0649
FGAA11;Outros;9.16;0.14429999999999998;0.1245;0.97;412946000.0;1184740.0;0;0.0;0.0;0.0;0.0
FIGS11;Shoppings;50.86;0.1054;0.1103;0.72;144951000.0;253732.0;2;2202.74;235.59;0.107;0.0506
FIIB11;Logística;460.0;0.10060000000000001;0.0934;0.78;315100000.0;1024430.0;11;572.45;64.0;0.1118;0.011000000000000001
FIIP11;Logística;137.2;0.12890000000000001;0.1213;0.69;127207000.0;642000.0;7;1817.33;265.87;0.1463;0.0
FISC11;Escritórios;62.65;0.0943;0.1047;0.56;106505000.0;1659.0;4;8513.86;1031.88;0.12119999999999999;0.04190000000000001
FISD11;Títulos e Val. Mob.;203.32;-0.21059999999999998;0.0;3.41;218079000.0;0.0;1;0.0;0.0;0.0;0.0
FIXX11;Outros;94.1;0.0143;0.0;7.15;1764010000.0;102934.0;0;0.0;0.0;0.0;0.0
FLCR11;Outros;95.0;0.1839;0.1388;1.0;71425200.0;216354.0;0;0.0;0.0;0.0;0.0
FLFL11;Escritórios;100.0;0.0693;0.0;0.73;345426000.0;0.0;1;31150.9;2391.66;0.0768;0.2913
FLMA11;Escritórios;158.5;0.08289999999999999;0.0815;0.63;218836000.0;55527.0;1;19185.9;2026.76;0.1056;0.0
FLRP11;Shoppings;20.99;0.0891;0.0888;0.99;158744000.0;22776.0;1;3101.24;297.84;0.096;0.0165
FMOF11;Escritórios;38.0;0.0919;0.19;0.82;19304300.0;3934.0;1;0.0;257.82;0.0;0.0417
FPAB11;Escritórios;209.01;0.0649;0.09519999999999999;0.58;156758000.0;14697.0;2;4264.63;386.54;0.0906;0.19
FPNG11;Multicategoria;465.05;0.0126;0.0102;2.18;1415360000.0;23.0;8;138455.0;3127.01;0.0226;0.0229
FRBR11;Multicategoria;103.71;0.09230000000000001;0.0;1.08;1324330000.0;0.0;0;0.0;0.0;0.0;0.0
FTCA11;Outros;9.57;0.1707;0.0805;0.9;42681700.0;107838.0;0;0.0;0.0;0.0;0.0
FTCE11;Multicategoria;2894.66;-0.1209;0.0197;1.0;3835220000.0;0.0;84;22005.9;745.98;0.0339;0.33759999999999996
FVBI11;Lajes Corporativas;159.71;0.0;0.0;0.0;0.0;0.0;1;0.0;636.95;0.0;0.0
FVPQ11;Shoppings;67.0;0.0842;0.0767;0.71;187610000.0;99402.0;1;3150.59;461.37;0.1464;0.1039
FYTO11;Multicategoria;8.44;0.1449;0.1431;0.85;128975000.0;174409.0;0;0.0;0.0;0.0;0.0
FZDA11;Outros;120.52;0.035;0.0329;0.66;186806000.0;5496.0;6;2.13;0.09;0.042300000000000004;0.0
FZDB11;Outros;146.84;0.027200000000000002;0.0277;0.82;528624000.0;3179.0;40;3.77;0.13;0.0334;0.0
GALG11;Multicategoria;9.08;0.0799;0.0;0.98;1338920000.0;0.0;4;327.63;27.64;0.08439999999999999;0.0
GAME11;Outros;9.1;0.049800000000000004;0.1244;0.93;258678000.0;153923.0;0;0.0;0.0;0.0;0.0
GARE11;Multicategoria;8.41;0.036699999999999997;0.1173;0.88;2432060000.0;18541700.0;3;188.46;27.09;0.1437;0.0
GCFF11;Títulos e Val. Mob.;69.3;0.1204;0.0;0.89;24981100.0;0.0;0;0.0;0.0;0.0;0.0
GCOI11;Residencial;72.87;-0.07200000000000001;0.3667;0.99;8234310.0;692.0;0;0.0;0.0;0.0;0.0
GCRA11;Multicategoria;55.7;0.1282;0.0753;0.65;97523200.0;220050.0;0;0.0;0.0;0.0;0.0
GCRI11;Multicategoria;68.49;0.1265;0.1454;0.76;99574800.0;205747.0;1;0.0;0.0;0.0;0.0
GESE11B;Outros;1520.0;0.1139;0.0;1.36;79040000.0;0.0;1;0.0;725.37;0.0;0.0
GFDL11;Logística;111.84;-0.0036;0.0014000000000000002;1.14;28511000.0;19937.0;0;0.0;0.0;0.0;0.0
GGRC11;Multicategoria;10.22;0.0697;0.1167;0.91;2189630000.0;9603450.0;41;2225.29;237.34;0.1067;0.0
GLCR11;Multicategoria;100.07;0.087;0.0858;0.99;36036200.0;3010.0;0;0.0;0.0;0.0;0.0
GLOG11;Logística;71.0;0.0705;0.0703;0.65;53250000.0;298622.0;1;740.91;73.32;0.099;0.0
GLPF11;Logística;105.67;0.0928;0.1007;1.03;159033000.0;62445.0;0;0.0;0.0;0.0;0.0
GRLV11;Logística;145.5;0.0572;0.0;24.38;156199000.0;0.0;1;0.0;183.0;0.0;0.0369
GRUL11;Logística;8.73;0.136;0.12560000000000002;0.91;215631000.0;323777.0;1;3601.65;512.2;0.1422;0.0
GRWA11;Outros;7.99;0.1217;0.057800000000000004;0.79;22040300.0;12702.0;0;0.0;0.0;0.0;0.0
GSFI11;Shoppings;11.0;0.0;0.0;0.87;1057170000.0;13966400.0;0;0.0;0.0;0.0;0.0
GTLG11;Logística;63.99;0.1375;0.0;0.7;459000000.0;0.0;5;2714.27;318.12;0.11720000000000001;0.0169
